reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId
4b378487-7b9c-45e6-8d39-8e2c4bd3fb03,Rahoof Ali Mohammad,https://play-lh.googleusercontent.com/a-/ALV-UjUSxMN2LORpwM-Jhm4qUAZakHRDsCKFg_a44hMN_47pNV1aXWqfFw,"I had the worst experience with Splash's online purchase. I ordered an item and chose the pick-up option. Before placing the order, it showed that the item would be available within a day. However, it has been three days, and I still haven’t received my order, even though I have already made the payment.",1,0,8.69,2024-12-30 11:42:09,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at support@SplashFashions.com We will get back to you at the earliest.",2024-12-30 15:23:50,8.69,most_relevant,com.landmarkgroup.splashfashions
92348131-be72-4d0d-bcfb-1ba35754af26,Ivan,https://play-lh.googleusercontent.com/a/ACg8ocILD7GC9optekI1WmChwFaGmI3-a8hsHdn74LeMb-UwMJ5J5IQ=mo,"In my over 20 years of shopping experience, I can truly say that only cheap, low quality brands are the ones charging their customers for a shopping bag w/their brand on it, while expensive, trusted, high quality brands may only ask their customers to pay for shopping bags when they ask for extra, which is reasonable. ""Why is this?"", you may ask. Well, it's simply because cheap brands can't afford to pay for effective brand ambassadors, ie, their loyal customers. A shopping bag is an ad actually",1,6,8.59,2024-11-17 02:33:51,We are really sorry you feel this way. Please tell us more about your experience at support@SplashFashions.com and we will help you in the best possible manner.,2024-11-17 15:02:24,8.59,most_relevant,com.landmarkgroup.splashfashions
6a75e229-e41f-4e3a-8c7d-2afecc19e0b7,Munthasarulla Baig,https://play-lh.googleusercontent.com/a/ACg8ocKBE5oBxcoQBmUxz85fvcXJyZ3mxx0aJLaTUSd6qHtVr-Tlpw=mo,Never buy from Splash online platform if you need the product soon. They offer next day delivery and it never gets delivered on time and they don't have cancellation option to cancel the items to get the refund. Delivery partner and support team is of Zero help they only tell you one thing as mentioned in there script that they will escalate it to concern department that's it. No further info will be available. So if you truly need of something urgent or to gift don't trust splash platform.,1,5,8.59,2024-12-03 00:26:38,We apologize for the disappointment. Please share the order details with us at support@SplashFashions.com We will get in touch with you and do the needful. Thanks.,2024-12-04 16:56:00,8.59,most_relevant,com.landmarkgroup.splashfashions
b49a3b4d-cf0d-4cd8-80b5-668ba9bbb36b,Santosh Tiwari,https://play-lh.googleusercontent.com/a-/ALV-UjXazjudljcI82G3lmHIjhVwj2Vi_asUrBHY2Er_7q1jc7wMakq0aA,I had a very bitter experience with Center point return process I had return the product and sent video also but rather investigating where the product is they are just blaming me that we had received different product. But the same product was returned and there is nobody to tk responsibility to find out root cause. Really disappointed by the service of center point or Splash . Or it's a New Scam don't know.,1,5,8.59,2024-11-17 18:56:36,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at support@SplashFashions.com We will get back to you at the earliest.",2024-11-21 18:41:08,8.59,most_relevant,com.landmarkgroup.splashfashions
bb89222a-f086-4a9f-94b4-40ba9f822db0,Nithin Kamal A,https://play-lh.googleusercontent.com/a-/ALV-UjU0N75LSqHs8ZiEgr7O36D-c_VDbI8Goy41rVnJG9z5EC5SKhZ8,"4 hours still waiting for my shopping cart to open inside the app, update app UI but don't sacrifice key functions for that",1,0,8.69,2025-01-01 17:42:21,,,8.69,most_relevant,com.landmarkgroup.splashfashions
6bfc0148-dda0-4bed-8b41-cbca6d263e75,Ash Alansari,https://play-lh.googleusercontent.com/a-/ALV-UjW1vNmEUaFGDI1f1ea2SFa95rC6nZGyztHiFyRP0nE45rDZAlM,The listings keep loading and loading and never do. How are we supposed to shop like this? I'm not going to buy things blindly I need to see info. It never did this before.,1,1,8.59,2024-12-01 17:11:54,"Hi, we are sorry to hear that. Do share the screenshot of the error page at support@SplashFashions.com to enable us to assist you further.",2024-12-04 16:55:36,8.59,most_relevant,com.landmarkgroup.splashfashions
2fb788e0-8788-4788-afb3-9c80415af6d1,Bibin Joseph,https://play-lh.googleusercontent.com/a-/ALV-UjXMcTmMbxin3RencjxR7AF91WzSV2739eZL_CIpO-KkvrD3OFqf,The worst shopping app I ever used. Have a lots of glitches and errors.,1,0,8.69,2025-01-01 20:06:22,,,8.69,most_relevant,com.landmarkgroup.splashfashions
105bf6ad-ed29-4b64-9a3d-0abb4ace5664,ARJUN A,https://play-lh.googleusercontent.com/a-/ALV-UjXMGcibyRUgYPhqqobd0a0Yj0roXhQVO0-mP6SujQPrA1FSsXPL,UI could be updated and some product information are missing. Standardizing those will give users a better experience.,4,25,8.59,2024-11-02 04:04:36,"Dear User, Thank you for your suggestions. We will try and incorporate them upcoming versions.",2024-11-03 16:43:18,8.59,most_relevant,com.landmarkgroup.splashfashions
14013c76-16fb-49f9-93aa-bbe38bbdcd68,Noah Marimacho,https://play-lh.googleusercontent.com/a/ACg8ocKxN7zJIFvtaTPULjvYgDbYDzNwEnbmWTkvzqKUqIhduBI-AOc=mo,"i cannot sign in or sign up in splash, max and centerpoint. what happened to your mobile app?",1,1,8.59,2024-11-20 08:55:05,"Hi, we are sorry to hear that. Do share the screenshot of the error page at support@SplashFashions.com to enable us to assist you further.",2024-11-21 18:41:52,8.59,most_relevant,com.landmarkgroup.splashfashions
52310382-0faa-427b-8aaf-2df1a486a928,Amr ElBahloul,https://play-lh.googleusercontent.com/a-/ALV-UjVterwrBgKl3T67hNwu3TOlO28rsPJUPxPuZDUGBCiPKzCBSNxe,"whenever I click an item, the screen is somehow grayed,. and add to basket keeps loading",1,6,8.59,2024-10-25 23:54:24,"Hi, we are sorry to hear that. Do share the screenshot of the error page at support@SplashFashions.com to enable us to assist you further.",2024-10-27 14:16:26,8.59,most_relevant,com.landmarkgroup.splashfashions
